"CODE","NAME","ID_DEP"
"0000123	","神经内科病房","0001Z8100000000LJ1NF"
"0000131	","肾脏内科病房","0001Z8100000000LJ1NM"
"0000646	","急诊重症监护病区","1001Z810000001U42M1I"
"0000749	","国际医疗中心特约病房（国）","1001Z810000003928K0G"
"0000742	","男科病房","1001Z810000002WSHK72"
"0000428	","生殖医学中心(国)病房","1001Z8100000026KH4QF"
"0000657	","医学美容中心(国)病房","1001Z8100000026KJ31V"
"0000659	","感染疾病科(国)病房","1001Z8100000026KJ38S"
"0000662	","肝病科(国)病房","1001Z8100000026KJAPN"
"0000663	","呼吸重症监护(国)病房","1001Z8100000026KJAQO"
"0000664	","淋巴瘤科(国)病房","1001Z8100000026KJAXL"
"000739	","预住院中心","1001Z810000002UCDR4J"
"0000636	","全科医学科住院体检","1001Z8100000018A4I43"
"0000655	","康复医学科(国)病房","1001Z8100000026KIWD5"
"0000678	","整形外科(国)病房","1001Z8100000026KKNNQ"
"0000796	","护理专科会诊中心","1001Z810000003A66VBT"
"0000504	","放疗科(国)病房","1001Z8100000026JN0H9"
"0000507	","胃肠甲状腺疝外科(国)病房","1001Z8100000026JN0RG"
"0000513	","腹膜后肿瘤外科(国)病房","1001Z8100000026JN0TX"
"0000514	","睡眠中心(国)病房","1001Z8100000026JN0U5"
"0000638	","肿瘤楼9L","1001Z810000001AFE9TK"
"0000727	","肿瘤微创科(国)病房","1001Z810000002BRS07Q"
"0000644	","肿瘤楼3L","1001Z810000001TJ7EWE"
"0000743	","男科(国)病房","1001Z810000002WSHK96"
"0000668	","儿科(国)病房","1001Z8100000026KK8E5"
"0000670	","老年医学科(国)病房","1001Z8100000026KK8VJ"
"0000693	","血液净化2(国)病房","1001Z810000002XABRHC"
"0000591	","肛肠外科(国)病房","1001Z8100000026KH4VL"
"0000602	","口腔颌面外科(国)病房","1001Z8100000026KHO92"
"0000730	","肿瘤楼10L","1001Z810000002DVRQF3"
"0000734	","体重健康管理中心病房","1001Z810000002RKU4O6"
"0000791	","急诊综合病区","1001Z8100000035BOLEW"
"0000159	","胸外科(国)病房","1001Z8100000026J6TK6"
"0000179	","NICU(国)病房","1001Z8100000026JLVMS"
"0000184	","化疗(国)病房","1001Z8100000026JLVS1"
"0000398	","妇科(国)病房","1001Z8100000026JLVYC"
"0000385	","疼痛科(国)病房","1001Z8100000026JMOWD"
"0000508	","肝胆外科(国)病房","1001Z8100000026JN0RO"
"0000516	","血液净化中心(国)病房","1001Z8100000026JN0WR"
"0000795	","核医学科(国)病房","1001Z810000003928K6J"
"0000407	","计划生育(国)病房","1001Z8100000026JLVYS"
"0000392	","ICU(国)病房","1001Z8100000026JLVZ7"
"0000411	","乳腺疾病科(国)病房","1001Z8100000026JLW0Y"
"0000421	","产科(国)病房","1001Z8100000026JLW34"
"0000729	","肿瘤微创科病房","1001Z810000002DVRQEX"
"0000736	","神经康复(国)病房","1001Z810000002RNJWOX"
"0000731	","神经康复病房","1001Z810000002RIN7B9"
"0000735	","体重健康管理中心(国)病房","1001Z810000002RKU4US"
"0000789	","泌尿外科膀胱镜室","1001Z810000002ULX2OG"
"0000647	","儿科病房","1001Z810000001U58IKV"
"0000173	","风湿免疫科(国)病房","1001Z8100000026JLVLK"
"0000175	","消化内科(国)病房","1001Z8100000026JLVLV"
"0000183	","骨髓移植层流(国)病房","1001Z8100000026JLVQC"
"0000666	","日间诊疗(国)病房","1001Z8100000026KJTA1"
"0000747	","眼底色素变性专科(国)病房","1001Z8100000031EAI74"
"0000642	","儿童家庭化病房","1001Z810000001PCT30A"
"0000653	","老年医学科病房","1001Z81000000230VB6L"
"0000661	","全科医学科病房(国)","1001Z8100000024MB3EV"
"0000737	","病理科(国)","1001Z810000002RUR1GI"
"0000790	","急诊综合病房","1001Z8100000035BOLEQ"
"0000477	","肿瘤科病区","0001Z8100000000LJ1HG"
"0000613	","肿瘤楼7L","0001Z8100000000LJ1KO"
"0000111	","心血管内科(国)病房","1001Z8100000026JL09B"
"0000117	","心外科(国)病房","1001Z8100000026JL7PX"
"0000118	","神经外科(国)病房","1001Z8100000026JL7QJ"
"0000121	","神经内科(国)病房","1001Z8100000026JL7WR"
"0000122	","肾脏内科(国)病房","1001Z8100000026JL7XF"
"0000136	","泌尿外科(国)病房","1001Z8100000026JL805"
"0000138	","介入血管外科(国)病房","1001Z8100000026JL80S"
"0000143	","骨科(国)病房","1001Z8100000026JL843"
"0000185	","肿瘤内科(国)病房","1001Z8100000026JLVS8"
"0000078	","眼科(国)病房","1001Z8100000026JL00S"
"0000160	","耳鼻喉头颈外科(国)病房","1001Z8100000026JL87C"
"0000165	","呼吸与危重症医学科(国)病房","1001Z8100000026JL88H"
"0000167	","内分泌科(国)病房","1001Z8100000026JLVHG"
"0000182	","血液病(国)病房","1001Z8100000026JLVQ3"
"0000383	","麻醉科(国)门诊","1001Z8100000026JMOVT"
